Description,Category,Sub_category,Price,Date
DKNY Unisex Black & Grey Printed Medium Trolley Bag,Clothes,Bags_Accessories,45.14,9/2/2023
EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,Clothes,Clothes,23.14,9/1/2023
SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Clothes,Clothes,10.12,8/4/2023
Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Clothes,Clothes,14.62,8/23/2023
7Rainbow Beige & Blue Checked Saree,Clothes,Bags_Accessories,104.82,9/1/2023
7Rainbow Pink & Beige Printed Bandhani Saree,Clothes,Bags_Accessories,98.45,9/1/2023
McDonald's,Food,FastFood_Restaurants,12.47,9/2/2023
Starbucks,Food,FastFood_Restaurants,17.83,9/3/2023
Subway,Food,FastFood_Restaurants,15.62,9/4/2023
Taco Bell,Food,FastFood_Restaurants,11.95,9/5/2023
Burger King,Food,FastFood_Restaurants,16.28,9/1/2023
Wendy's,Food,FastFood_Restaurants,14.76,9/1/2023
Dunkin' (formerly Dunkin' Donuts),Food,FastFood_Restaurants,10.59,8/23/2023
Domino's Pizza,Food,FastFood_Restaurants,18.34,9/1/2023
Pizza Hut,Food,FastFood_Restaurants,13.69,9/1/2023
KFC (Kentucky Fried Chicken),Food,FastFood_Restaurants,19.55,9/1/2023
Chick-fil-A,Food,FastFood_Restaurants,10.87,9/1/2023
Sonic Drive-In,Food,FastFood_Restaurants,16.75,9/1/2023
Panera Bread,Food,FastFood_Restaurants,14.23,9/1/2023
Chipotle Mexican Grill,Food,FastFood_Restaurants,12.89,9/1/2023
Popeyes Louisiana Kitchen,Food,FastFood_Restaurants,18.01,9/1/2023
Little Caesars,Food,FastFood_Restaurants,11.42,9/1/2023
Panda Express,Food,FastFood_Restaurants,19.78,9/1/2023
Jimmy John's,Food,FastFood_Restaurants,13.24,9/1/2023
Dairy Queen,Food,FastFood_Restaurants,15.09,9/1/2023
Arby's,Food,FastFood_Restaurants,10.32,9/1/2023
Five Guys,Food,FastFood_Restaurants,17.66,9/1/2023
In-N-Out Burger,Food,FastFood_Restaurants,12.18,9/1/2023
Jack in the Box,Food,FastFood_Restaurants,19.92,9/1/2023
Hardee's / Carl's Jr.,Food,FastFood_Restaurants,14.5,9/1/2023
Pottery Barn,Home,Decor,10.12,9/3/2023
West Elm,Home,Decor,14.62,9/4/2023
Crate & Barrel,Home,Decor,104.82,9/5/2023
Pier 1 Imports,Home,Decor,98.45,9/1/2023
World Market,Home,Decor,12.47,9/1/2023
HomeGoods,Home,Decor,17.83,8/23/2023
Anthropologie,Home,Decor,15.62,9/1/2023
Ballard Designs,Home,Decor,11.95,9/1/2023
Williams Sonoma Home,Home,Decor,16.28,9/1/2023
Z Gallerie,Home,Decor,14.76,9/1/2023
At Home,Home,Decor,10.59,9/1/2023
Bed Bath & Beyond,Home,Decor,18.34,9/1/2023
Serena & Lily,Home,Decor,13.69,9/1/2023
Jonathan Adler,Home,Decor,19.55,9/1/2023
Lulu & Georgia,Home,Decor,10.87,9/1/2023
Overstock,Home,Decor,16.75,9/1/2023
Birch Lane,Home,Decor,14.23,9/1/2023
Joss & Main,Home,Decor,12.89,9/1/2023
Room & Board,Home,Decor,18.01,9/1/2023
One Kings Lane,Home,Decor,11.42,9/1/2023
Brake booster,Auto,Maintenance,15.09,9/2/2023
Shocks and struts,Auto,Maintenance,10.32,9/3/2023
Control arms,Auto,Maintenance,17.66,9/4/2023
Ball joints,Auto,Maintenance,12.18,9/5/2023
Tie rod ends,Auto,Maintenance,19.92,9/6/2023
Sway bar links,Auto,Maintenance,14.5,9/7/2023
Bushings,Auto,Maintenance,19.92,9/8/2023
Steering rack/boot kit,Auto,Maintenance,19.92,9/9/2023
Gas,Auto,Gas,400.92,9/1/2023
Baby Bottles,Baby,Formula,86.42,9/1/2023
Baby Diapers,Baby ,Diapers,46.22,9/1/2023
Baby Clothes,Baby,B_Clothes,64.29,9/1/2023
Haircuts,Personal_Care,Hair,40.22,9/1/2023
Nails,Personal_Care,Makeup_Nails,140.84,9/1/2023
Airplane flights,Travel,Flights,600.42,9/1/2023
Hotels,Travel,Hotels,429.41,9/1/2023
Rent,Home,Rent,1200,9/1/2023
Security Cameras,Home,Security,129.99,9/1/2023
Kitchen stuff,Home,Kitchen,22.89,9/2/2023
Protein powder,Personal_Care,Vitamins_Supplements,140.99,9/3/2023
Pet food,Pets,Pet_Food,40.99,9/4/2023
RAM,Electronics,Computer,135.99,9/1/2023
Books,Entertainment,Books,20.99,9/1/2023
Shoes,Clothes,Shoes,199.99,9/1/2023
COSTCO,Food,Groceries,700.89,9/2/2023
Movie night,Entertainment,DateNights,99.99,9/1/2023
Earings,Clothes,Jewelry,150.99,9/1/2023
Lui vitoon ,Clothes,Bags_Accessories,42.12,9/1/2023
Baby Toys,Baby,Toys,48.96,9/1/2023
VASA,Subscriptions_Memberships,Gym,20.99,9/1/2023
Costco food,Food,Groceries,500,1/1/2023
Costco food,Food,Groceries,501,1/2/2023
Costco food,Food,Groceries,502,1/3/2023
Costco food,Food,Groceries,503,1/4/2023
Costco food,Food,Groceries,504,1/5/2023
Costco food,Food,Groceries,505,1/6/2023
Costco food,Food,Groceries,506,1/7/2023
Costco food,Food,Groceries,507,1/8/2023
VASA,Subscriptions_Memberships,Gym,20.99,1/1/2023
VASA,Subscriptions_Memberships,Gym,21.99,1/2/2023
VASA,Subscriptions_Memberships,Gym,22.99,1/3/2023
VASA,Subscriptions_Memberships,Gym,23.99,1/4/2023
VASA,Subscriptions_Memberships,Gym,24.99,1/5/2023
VASA,Subscriptions_Memberships,Gym,25.99,1/6/2023
VASA,Subscriptions_Memberships,Gym,26.99,1/7/2023
VASA,Subscriptions_Memberships,Gym,27.99,1/8/2023
Pet food,Pets,Pet_Food,40.99,1/1/2023
Pet food,Pets,Pet_Food,41.99,1/2/2023
Pet food,Pets,Pet_Food,42.99,1/3/2023
Pet food,Pets,Pet_Food,43.99,1/4/2023
Pet food,Pets,Pet_Food,44.99,1/5/2023
Pet food,Pets,Pet_Food,45.99,1/6/2023
Pet food,Pets,Pet_Food,46.99,1/7/2023
Pet food,Pets,Pet_Food,47.99,1/8/2023
,,,,
