Description,Category,Tok-Cat,Sub_Category,Tok-Sub
Cinemark,Entertainment,,Movies_TV,
ADMIRAL BEVERAGE CORP,Food,,Groceries,
BARNES &amp; NOBLE #2626,Entertainment,,Books,
Pure Encapsulations ONE Multivitamin,Medical,,Vitamins_Supplements,
Dr Bergs Electrolyte Powder Raspberry Lemonade,Medical,,Vitamins_Supplements,
"Carlson - Super Omega-3 Gems, 1200 mg Omega-3 Fatty Acids with EPA and DHA, Wild-Caught Norwegian Fish Oil Supplement, Sustainably Sourced Fish Oil Capsules, Omega 3 Supplements, 100+30 SoftgelsCarlson - Super Omega-3 Gems, 1200 mg Omega-3 Fatty Acids with EPA and DHA, Wild-Caught Norwegian Fish Oil Supplement, Sustainably Sourced Fish Oil",Medical,,Vitamins_Supplements,
Quest Nutrition S'mores Protein Bar,Food,,Groceries,
Pregmate 50 Ovulation and 20 Pregnancy Test Strips Predictor Kit,Medical,,Health_Wellness,
Quest Nutrition Cookies Cream Protein Bars,Food,,Groceries,
Natural Force Organic MTC oil Pure glass Bottle,Food,,Groceries,
"Organic Inulin FOS Powder (Jerusalem Artichoke), 2.2 Pounds (35 Ounce), Quick Water Soluble, Prebiotic Intestinal Support for Colon and Gut Health, Natural Fibers for Smoothie & Drinks, Vegan FriendlyOrganic Inulin FOS Powder (Jerusalem Artichoke)",Food,,Groceries,
Blue Lizard Sunscreen,Medical,,Health_Wellness,
BOSCH 6055C HEPA Cabin Air Filter - Compatible With SelectBOSCH 6055C HEPA Cabin Air Filter,Auto,,Maintenance,
GOOGLE YOUTUBEPREMIUM,Subscriptions_Memberships,,Entertainment,
BEANS BREWS COFFEE,Food,,Groceries,
Thorne Creatine,Medical,,Vitamins_Supplements,
Pure Encapsulations Magnesium,Medical,,Vitamins_Supplements,
"Batiste Dry Shampoo, Coconut & Exotic Tropical, 6.73 Fl Oz, Pack of 6Batiste Dry Shampoo, Coconut & Exotic Tropical",Personal_Care,,Hair,
Thorne Basic Prenatal - Well-Researched Folate Multi for Pregnant and Nursing Women Includes 18 Vitamins and Minerals,Medical,,Vitamins_Supplements,
Blizzard Entertainment,Electronics,,Gaming,
Withdrawal from CITI CARD ONLINE PAYMENT,Debt,,Credit Cards,
Withdrawal to 360 Performance Savings XXXXXXX2456,Savings,,Savings,
Burst Oral Care,Subscriptions_Memberships,,Sub_Other,
Cinemark Theatres,Entertainment,,Movies_TV,
Blue Lemon,Food,,FastFood_Restaurants,
Quick Quack Car Wash,Auto,,Maintenance,
Zybook College Txtbook Campbell CA,Subscriptions_Memberships,,Sub_Other,
Harmons,Food,,Groceries,
RoxBerry Juice,Food,,FastFood_Restaurants,
Café Rio,Food,,FastFood_Restaurants,
My Tire Guys,Auto,,Maintenance,
Google Google Storage,Subscriptions_Memberships,,Entertainment,
Protonmail,Subscriptions_Memberships,,Entertainment,
McDonald's,Food,,FastFood_Restaurants,
Starbucks,Food,,FastFood_Restaurants,
Chick-fil-A,Food,,FastFood_Restaurants,
