Description,Category,Sub_Category,ProductBrand,Description2
DKNY Unisex Black & Grey Printed Medium Trolley Bag,Clothes,Bags_Accessories,DKNY,"Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,Clothes,Clothes,EthnoVogue,"Beige & Grey made to measure kurta with churidar andÂ dupattaBeige made to measure calfÂ length kurta, has a V-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in"
SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Clothes,Clothes,SPYKAR,"Pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Clothes,Clothes,Raymond,"Blue self-design bandhgala suitBlue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemBlue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops"
Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,Clothes,Clothes,Parx,"Brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
SHOWOFF Men Brown Solid Slim Fit Regular Shorts,Clothes,Clothes,SHOWOFF,"Brown solid low-rise regular shorts, has four pockets, a button closure"
Parx Men Blue Slim Fit Checked Casual Shirt,Clothes,Clothes,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,Clothes,Clothes,SPYKAR,"Burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
Parx Men Brown Tapered Fit Solid Regular Trousers,Clothes,Clothes,Parx,Brown solid regular trousers regular trousers
DKNY Unisex Black Large Trolley Bag,Clothes,Bags_Accessories,DKNY,"Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
Kenneth Cole Women Navy Blue Solid Backpack,Clothes,Bags_Accessories,Kenneth Cole,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No
Parx Men Green Printed Polo Collar T-shirt,Clothes,Clothes,Parx,"Green printed T-shirt, has a polo collar, and short sleeves"
7Rainbow Beige & Blue Checked Saree,,,7Rainbow,"Design Detail:Beige and Blue checked saree with tasselled detailBlouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look like"
7Rainbow Pink & Beige Printed Bandhani Saree,,,7Rainbow,"Design Detail:Pink and Beige bandhani printed sareeBlouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeOrigin:Bandhani is also known as Bandhej. It is a tie and dye method practiced mainly in states of Rajasthan, Gujarat and parts of Uttar Pradesh. It features various designs ranging from floral to animal patterns.Pattern Detail:Bandhani is an art that involves dyeing a fabric tied tightly with a thread at several points, producing a variety of patterns."
Parx Men Red Slim Fit Checked Casual Shirt,Clothes,Clothes,Parx,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
Being Human Clothing Navy Printed Casual Slim Shirt,Clothes,Clothes,Being Human,"Navy blue printedÂ casual shirt, has a spread collar, a full button placket, two pockets,Â long sleeves, a curved hem"
Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Home,Decor,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
7Rainbow Yellow & Orange Checked Saree,,,7Rainbow,"Design Detail:Yellow, orange and pink checked saree, has a zari borderBlouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeFabric:Art silk is manufactured by synthetic fibres like rayon. It's light in weight and is soft on the skin for comfort in summers."
YAK YAK Men Camel Brown Solid Polo Collar T-shirt,Clothes,Clothes,YAK YAK,"Camel brown solid T-shirt, has polo collar, short sleeves"
PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,Clothes,Clothes,PARFAIT,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
