Description,Category,Sub_Category
SONIC Drive In 800 N Canal Blvd SONIC Drive In American Restaurant and Fast Food Restaurant SONIC Drive In Thibodaux US LA US,Food,FastFood_Restaurants
SONIC Drive In 800 N Canal Blvd SONIC Drive In Fast Food Restaurants SONIC Drive In Thibodaux US LA US,Food,FastFood_Restaurants
Taco Bell 206 Wears Valley Rd Taco Bell Fast Food Restaurant Taco Bell Pigeon Forge US TN US,Food,FastFood_Restaurants
Arby's 3652 Parkway Arby's Fast Food Arby's Pigeon Forge US TN US,Food,FastFood_Restaurants
Steak 'n Shake 2118 Mt Zion Parkway Steak 'n Shake Fast Food Restaurant Steak 'n Shake Morrow US GA US,Food,FastFood_Restaurants
Wendy's 9768 Grand River Ave Wendy's Fast Food Restaurant Wendy's Detroit US MI US,Food,FastFood_Restaurants
Burger King 13600 W McNichols Rd Burger King Fast Food Restaurant Burger King Detroit US MI US,Food,FastFood_Restaurants
Chipotle Mexican Grill 4111 Oceanside Blvd Chipotle Mexican Grill Fast Food Chipotle Mexican Grill Oceanside US CA US,Food,FastFood_Restaurants
7-Eleven 162 Old Country Rd 7-Eleven Fast Food Restaurants 7-Eleven Riverhead US NY US,Food,FastFood_Restaurants
Dairy Queen 1407 S Stockton Ave Dairy Queen Fast Food Restaurant Dairy Queen Monahans US TX US,Food,FastFood_Restaurants
Dairy Queen 208 W Mason St Dairy Queen Fast Food Restaurant and Ice Cream Shop Dairy Queen Mabank US TX US,Food,FastFood_Restaurants
Dairy Queen 5801 Highway 6 Dairy Queen Ice Cream Shop and Fast Food Restaurant Dairy Queen Missouri City US TX US,Food,FastFood_Restaurants
Mr. Hero 3454 Manchester Rd Mr. Hero Fast Food Restaurant Mr. Hero Akron US OH US,Food,FastFood_Restaurants
Golden Chick 1500 E Main St Golden Chick Fast Food Restaurants Golden Chick Eastland US TX US,Food,FastFood_Restaurants
Carl's Jr 1190 W Foothill Blvd Carl's Jr Fast Food Restaurant Carl's Jr Azusa US CA US,Food,FastFood_Restaurants
Checkers 601 N Main St Checkers Fast Food Restaurants Checkers Summerville US SC US,Food,FastFood_Restaurants
Rally's 1927 Woodville Road Rally's Fast Food Rally's Oregon US OH US,Food,FastFood_Restaurants
Togo's 6316 W 89th St Togo's Fast Food Togo's Los Angeles US CA US,Food,FastFood_Restaurants
Rally's 3105 Highway 80 E Rally's Fast Food Restaurants Rally's Pearl US MS US,Food,FastFood_Restaurants
Checkers 2860 E Paris Ave SE Checkers Fast Food Restaurant Checkers Grand Rapids US MI US,Food,FastFood_Restaurants
Rally's 2424 E State Road 44 Rally's Fast Food Restaurant Rally's Shelbyville US IN US,Food,FastFood_Restaurants
Checkers 1611 Broadway Checkers Fast Food Checkers Brooklyn US NY US,Food,FastFood_Restaurants
Checkers 1720 Walton Way Checkers Fast Food Restaurants Checkers Augusta US GA US,Food,FastFood_Restaurants
Checkers 17620 Grand River Ave Checkers Fast Food Restaurant Checkers Detroit US MI US,Food,FastFood_Restaurants
Little Q Hot Pot 196 Massachusetts Ave Little Q Hot Pot Fast Food Restaurants Little Q Hot Pot Arlington US MA US,Food,FastFood_Restaurants
McDonald's 1224 State St McDonald's Fast Food McDonald's Schenectady US NY US,Food,FastFood_Restaurants
McDonald's 1232 Ulster Ave McDonald's Fast Food Restaurant McDonald's Kingston US NY US,Food,FastFood_Restaurants
McDonald's 1188 Avenue of The Americas McDonald's Fast Food Restaurant McDonald's New York US NY US,Food,FastFood_Restaurants
McDonald's 114 Delancey St McDonald's Fast Food Restaurant McDonald's New York US NY US,Food,FastFood_Restaurants
McDonald's 1050 Front St McDonald's Fast Food Restaurants McDonald's Uniondale US NY US,Food,FastFood_Restaurants
McDonald's 105 Jericho Tpke McDonald's Fast Food Restaurant McDonald's Jericho US NY US,Food,FastFood_Restaurants
McDonald's 105 Jericho Tpke McDonald's Fast Food McDonald's Jericho US NY US,Food,FastFood_Restaurants
McDonald's 106 Wolf Rd McDonald's Fast Food Restaurants McDonald's Albany US NY US,Food,FastFood_Restaurants
McDonald's 101 E 170th St McDonald's Fast Food McDonald's Bronx US NY US,Food,FastFood_Restaurants
