Description,Given Category,Given Sub-Category,Category,Sub_Category
Bush Somerset Collection Bookcase,Furniture,Bookcases,Home,Furniture_Appliances
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,,
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,,
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
12 Colored Short Pencils,Office Supplies,Art,,
Mitel 5320 IP Phone VoIP phone,Technology,Phones,,
DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,,
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,,
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
Konftel 250 Conference phone - Charcoal black,Technology,Phones,,
Xerox 1967,Office Supplies,Paper,,
Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,,
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,,
Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,,
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,,
Fellowes Super Stor/Drawer,Office Supplies,Storage,,
12 Colored Short Pencils,Office Supplies,Art,,
Cisco SPA 501G IP Phone,Technology,Phones,,
"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,,
12 Colored Short Pencils,Office Supplies,Art,,
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,,
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,Home,Furniture_Appliances
"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
Wilson Jones Active Use Binders,Office Supplies,Binders,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,,
Sauder Barrister Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,,
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Home,Furniture_Appliances
Poly String Tie Envelopes,Office Supplies,Envelopes,,
4009 Highlighters,Office Supplies,Art,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,,
4009 Highlighters by Sanford,Office Supplies,Art,,
Easy-staple paper,Office Supplies,Paper,,
GE 30524EE4,Technology,Phones,,
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Home,Furniture_Appliances
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,,
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,Home,Furniture_Appliances
Bush Mission Pointe Library,Furniture,Bookcases,Home,Furniture_Appliances
Plantronics HL10 Handset Lifter,Technology,Phones,,
Panasonic Kx-TS550,Technology,Phones,,
"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,,
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,,
Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,,
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,,
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,,
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,,
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,,
Avery 485,Office Supplies,Labels,,
"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,Home,Furniture_Appliances
O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,Home,Furniture_Appliances
Advantus Push Pins,Office Supplies,Fasteners,,
AT&T CL83451 4-Handset Telephone,Technology,Phones,,
Home/Office Personal File Carts,Office Supplies,Storage,,
Xerox 232,Office Supplies,Paper,,
"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,Home,Furniture_Appliances
"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,,
