Description,Category,Sub_Category
Tesla Supercharger Network Ocean View DE,Auto,Gas
ChargePoint Smith Center KS,Auto,Gas
EVgo Barnwell SC,Auto,Gas
Electrify America Union Center WI,Auto,Gas
Blink Charging West Salem WI,Auto,Gas
Greenlots Merrill OR,Auto,Gas
SemaConnect Wyatt MO,Auto,Gas
Volta Charging University Heights IA,Auto,Gas
FLO Rowan IA,Auto,Gas
ABB Electrification Oakland KY,Auto,Gas
Aloha Petroleum Galva KS,Auto,Gas
Alon Prairie Grove IL,Auto,Gas
American Gas Niland CA,Auto,Gas
Amoco Maurertown VA,Auto,Gas
AM-PM East Fultonham OH,Auto,Gas
ARCO Union OR,Auto,Gas
Billups Woodridge NY,Auto,Gas
BP Lac du Flambeau WI,Auto,Gas
Buc-ee's Seminole FL,Auto,Gas
Byrne Dairy Elliott ND,Auto,Gas
Carroll Motor Fuels Kalaeloa HI,Auto,Gas
Casey's General Stores Navassa NC,Auto,Gas
CEFCO Frisco TX,Auto,Gas
CENEX Eagle Harbor MD,Auto,Gas
Certified Quartzsite AZ,Auto,Gas
Chevron Reasnor IA,Auto,Gas
Chuckles Sutter CA,Auto,Gas
Circle K Fonda IA,Auto,Gas
Citgo Livonia LA,Auto,Gas
Clark Brands Nanuet NY,Auto,Gas
Conoco Heidelberg MS,Auto,Gas
Costco (Kirkland brand gasoline) Holiday Lake IA,Auto,Gas
Crown Monsey NY,Auto,Gas
Cumberland Farms Hoyleton IL,Auto,Gas
Delta Fuel Stations - Independently Branded Gas Stations Pendergrass GA,Auto,Gas
Delta Sonic - Western New York Monument PA,Auto,Gas
Exxon York PA,Auto,Gas
Etna Dorchester WI,Auto,Gas
Family Express - Indiana Greasewood AZ,Auto,Gas
Fastrac - Upstate New York Lockwood MO,Auto,Gas
Fastrip Blackburn OK,Auto,Gas
Frontier Roy WA,Auto,Gas
Flying J Youngsville PA,Auto,Gas
Gant Merkel TX,Auto,Gas
GasAmerica ComerÃ­o PR,Auto,Gas
"Gas City, Ltd. Langston OK",Auto,Gas
GasTrac Longdale OK,Auto,Gas
Getty East Cleveland TN,Auto,Gas
Gas Land Petroleum Hickory Hill KY,Auto,Gas
Go-Mart Rosalia KS,Auto,Gas
Gulf Farmer City IL,Auto,Gas
Hele Prince WV,Auto,Gas
High's Dairy Stores Kiowa KS,Auto,Gas
Holiday Saginaw MO,Auto,Gas
Huck's McDowell KY,Auto,Gas
Irving Oil East Petersburg PA,Auto,Gas
Jacksons Food Stores Strasburg VA,Auto,Gas
King Soopers Oljato-Monument Valley AZ,Auto,Gas
Krist Goessel KS,Auto,Gas
Kroger brand gasoline Helen WV,Auto,Gas
Kum & Go Farmington AR,Auto,Gas
Kwik Trip Bettles AK,Auto,Gas
Kwik Fill Mantua VA,Auto,Gas
Lassus Handy Dandy Plantation KY,Auto,Gas
Liberty Rainier OR,Auto,Gas
Love's Hewitt WI,Auto,Gas
Luke Oil Hormigueros PR,Auto,Gas
Lukoil Cleveland NY,Auto,Gas
Mapco Express Earlington KY,Auto,Gas
Marathon Oil Williamsport PA,Auto,Gas
Maverik Cascade ID,Auto,Gas
McCoy Oil Mena AR,Auto,Gas
Meijer Dupont OH,Auto,Gas
Minit Mart Lake Annette MO,Auto,Gas
Mirabito Urbana OH,Auto,Gas
Mobil Howard Lake MN,Auto,Gas
Murphy USA Elwood IL,Auto,Gas
OXXO Gas Greensboro GA,Auto,Gas
Pemex Fenton LA,Auto,Gas
Petro Canada Dennis Acres MO,Auto,Gas
Phillips 66 Valier MT,Auto,Gas
Pilot Prattville AL,Auto,Gas
QuickChek Pixley CA,Auto,Gas
QuikTrip Catlettsburg KY,Auto,Gas
RaceTrac/Raceway Wendell ID,Auto,Gas
Redner's Camp Dennison OH,Auto,Gas
Road Ranger Tracy MN,Auto,Gas
Rotten Robbie State Line MS,Auto,Gas
Royal Farms Millwood WA,Auto,Gas
Rutter's Farm Stores Joanna SC,Auto,Gas
7-Eleven brand gasoline Culver City CA,Auto,Gas
Sam's Club Monte Vista CO,Auto,Gas
Safeway New Buffalo MI,Auto,Gas
Servco Kelley IA,Auto,Gas
Sheetz Brandsville MO,Auto,Gas
Shell Peachland NC,Auto,Gas
