Description,Category,Sub_Category
Tesla Supercharger Network,Auto,Gas
ChargePoint,Auto,Gas
EVgo,Auto,Gas
Electrify America,Auto,Gas
Blink Charging,Auto,Gas
Greenlots,Auto,Gas
SemaConnect,Auto,Gas
Volta Charging,Auto,Gas
FLO,Auto,Gas
ABB Electrification,Auto,Gas
Aloha Petroleum,Auto,Gas
Alon,Auto,Gas
American Gas,Auto,Gas
Amoco,Auto,Gas
AM-PM,Auto,Gas
ARCO,Auto,Gas
Billups,Auto,Gas
BP,Auto,Gas
Buc-ee's,Auto,Gas
Byrne Dairy,Auto,Gas
Carroll Motor Fuels,Auto,Gas
Casey's General Stores,Auto,Gas
CEFCO,Auto,Gas
CENEX,Auto,Gas
Certified,Auto,Gas
Chevron,Auto,Gas
Chuckles,Auto,Gas
Circle K,Auto,Gas
Citgo,Auto,Gas
Clark Brands,Auto,Gas
Conoco,Auto,Gas
Costco (Kirkland brand gasoline),Auto,Gas
Crown,Auto,Gas
Cumberland Farms,Auto,Gas
Delta Fuel Stations - Independently Branded Gas Stations,Auto,Gas
Delta Sonic - Western New York,Auto,Gas
Exxon,Auto,Gas
Etna,Auto,Gas
Family Express - Indiana,Auto,Gas
Fastrac - Upstate New York,Auto,Gas
Fastrip,Auto,Gas
Frontier,Auto,Gas
Flying J,Auto,Gas
Gant,Auto,Gas
GasAmerica,Auto,Gas
"Gas City, Ltd.",Auto,Gas
GasTrac,Auto,Gas
Getty,Auto,Gas
Gas Land Petroleum,Auto,Gas
Go-Mart,Auto,Gas
Gulf,Auto,Gas
Hele,Auto,Gas
High's Dairy Stores,Auto,Gas
Holiday,Auto,Gas
Huck's,Auto,Gas
Irving Oil,Auto,Gas
Jacksons Food Stores,Auto,Gas
King Soopers,Auto,Gas
Krist,Auto,Gas
Kroger brand gasoline,Auto,Gas
Kum & Go,Auto,Gas
Kwik Trip,Auto,Gas
Kwik Fill,Auto,Gas
Lassus Handy Dandy,Auto,Gas
Liberty,Auto,Gas
Love's,Auto,Gas
Luke Oil,Auto,Gas
Lukoil,Auto,Gas
Mapco Express,Auto,Gas
Marathon Oil,Auto,Gas
Maverik,Auto,Gas
McCoy Oil,Auto,Gas
Meijer,Auto,Gas
Minit Mart,Auto,Gas
Mirabito,Auto,Gas
Mobil,Auto,Gas
Murphy USA,Auto,Gas
OXXO Gas,Auto,Gas
Pemex,Auto,Gas
Petro Canada,Auto,Gas
Phillips 66,Auto,Gas
Pilot,Auto,Gas
QuickChek,Auto,Gas
QuikTrip,Auto,Gas
RaceTrac/Raceway,Auto,Gas
Redner's,Auto,Gas
Road Ranger,Auto,Gas
Rotten Robbie,Auto,Gas
Royal Farms,Auto,Gas
Rutter's Farm Stores,Auto,Gas
7-Eleven brand gasoline,Auto,Gas
Sam's Club,Auto,Gas
Safeway,Auto,Gas
Servco,Auto,Gas
Sheetz,Auto,Gas
Shell,Auto,Gas
Simonson Station Stores,Auto,Gas
Sinclair,Auto,Gas
Speedway,Auto,Gas
Speedy Q,Auto,Gas
Spinx,Auto,Gas
Stewart's Shops,Auto,Gas
Sunoco,Auto,Gas
Tesoro,Auto,Gas
Terrible Herbst,Auto,Gas
Texaco,Auto,Gas
Texas Born,Auto,Gas
Thorntons Inc.,Auto,Gas
Total,Auto,Gas
Travelcenters of America,Auto,Gas
Travelers Oil,Auto,Gas
Valero,Auto,Gas
Walmart brand gasoline,Auto,Gas
Wawa,Auto,Gas
Weigel’s,Auto,Gas
