city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Miami,FL,Florida
Dallas,TX,Texas
Philadelphia,PA,Pennsylvania
Houston,TX,Texas
Atlanta,GA,Georgia
Washington,DC,District of Columbia
Boston,MA,Massachusetts
Phoenix,AZ,Arizona
Seattle,WA,Washington
San Francisco,CA,California
Detroit,MI,Michigan
San Diego,CA,California
Minneapolis,MN,Minnesota
Tampa,FL,Florida
Denver,CO,Colorado
Brooklyn,NY,New York
Queens,NY,New York
Riverside,CA,California
Baltimore,MD,Maryland
Las Vegas,NV,Nevada
Portland,OR,Oregon
San Antonio,TX,Texas
St. Louis,MO,Missouri
Sacramento,CA,California
Orlando,FL,Florida
San Jose,CA,California
Cleveland,OH,Ohio
Pittsburgh,PA,Pennsylvania
Austin,TX,Texas
Cincinnati,OH,Ohio
Kansas City,MO,Missouri
Manhattan,NY,New York
Indianapolis,IN,Indiana
Columbus,OH,Ohio
Charlotte,NC,North Carolina
Virginia Beach,VA,Virginia
Bronx,NY,New York
Milwaukee,WI,Wisconsin
Providence,RI,Rhode Island
Jacksonville,FL,Florida
Salt Lake City,UT,Utah
Nashville,TN,Tennessee
Richmond,VA,Virginia
Memphis,TN,Tennessee
Raleigh,NC,North Carolina
New Orleans,LA,Louisiana
Louisville,KY,Kentucky
Oklahoma City,OK,Oklahoma
Bridgeport,CT,Connecticut
Buffalo,NY,New York
Fort Worth,TX,Texas
Hartford,CT,Connecticut
Tucson,AZ,Arizona
Omaha,NE,Nebraska
El Paso,TX,Texas
Honolulu,HI,Hawaii
McAllen,TX,Texas
Albuquerque,NM,New Mexico
Birmingham,AL,Alabama
Sarasota,FL,Florida
Dayton,OH,Ohio
Rochester,NY,New York
Fresno,CA,California
Allentown,PA,Pennsylvania
Tulsa,OK,Oklahoma
Cape Coral,FL,Florida
Concord,CA,California
Colorado Springs,CO,Colorado
Charleston,SC,South Carolina
Springfield,MA,Massachusetts
Grand Rapids,MI,Michigan
Mission Viejo,CA,California
Albany,NY,New York
Knoxville,TN,Tennessee
Bakersfield,CA,California
Ogden,UT,Utah
Baton Rouge,LA,Louisiana
Akron,OH,Ohio
New Haven,CT,Connecticut
Columbia,SC,South Carolina
Mesa,AZ,Arizona
Palm Bay,FL,Florida
Provo,UT,Utah
Worcester,MA,Massachusetts
Murrieta,CA,California
Greenville,SC,South Carolina
Wichita,KS,Kansas
Toledo,OH,Ohio
Staten Island,NY,New York
Des Moines,IA,Iowa
Long Beach,CA,California
Port St. Lucie,FL,Florida
Denton,TX,Texas
Madison,WI,Wisconsin
Reno,NV,Nevada
Harrisburg,PA,Pennsylvania
Little Rock,AR,Arkansas
Oakland,CA,California
Durham,NC,North Carolina
Winston-Salem,NC,North Carolina
Bonita Springs,FL,Florida
Indio,CA,California
Palm Coast,FL,Florida
Chattanooga,TN,Tennessee
Spokane,WA,Washington
Syracuse,NY,New York
Lancaster,PA,Pennsylvania
Arlington,TX,Texas
Stockton,CA,California
Poughkeepsie,NY,New York
Augusta,GA,Georgia
Boise,ID,Idaho
Oxnard,CA,California
Scranton,PA,Pennsylvania
Modesto,CA,California
Kissimmee,FL,Florida
Aurora,CO,Colorado
Youngstown,OH,Ohio
Fayetteville,AR,Arkansas
Anaheim,CA,California
Pensacola,FL,Florida
Victorville,CA,California
Lancaster,CA,California
Greensboro,NC,North Carolina
Corpus Christi,TX,Texas
Fort Wayne,IN,Indiana
Santa Ana,CA,California
Flint,MI,Michigan
Fayetteville,NC,North Carolina
Jackson,MS,Mississippi
Santa Rosa,CA,California
Lansing,MI,Michigan
San Juan,PR,Puerto Rico
Lexington,KY,Kentucky
Ann Arbor,MI,Michigan
Henderson,NV,Nevada
Huntsville,AL,Alabama
Mobile,AL,Alabama
Fort Collins,CO,Colorado
Asheville,NC,North Carolina
Santa Clarita,CA,California
St. Paul,MN,Minnesota
Antioch,CA,California
Lakeland,FL,Florida
Trenton,NJ,New Jersey
Lincoln,NE,Nebraska
Springfield,MO,Missouri
Anchorage,AK,Alaska
Plano,TX,Texas
Irvine,CA,California
Davenport,IA,Iowa
Rockford,IL,Illinois
Newark,NJ,New Jersey
South Bend,IN,Indiana
Shreveport,LA,Louisiana
Round Lake Beach,IL,Illinois
Savannah,GA,Georgia
Myrtle Beach,SC,South Carolina
Chula Vista,CA,California
Eugene,OR,Oregon
Canton,OH,Ohio
Lubbock,TX,Texas
Reading,PA,Pennsylvania
Winter Haven,FL,Florida
Salem,OR,Oregon
St. Petersburg,FL,Florida
Lafayette,LA,Louisiana
Laredo,TX,Texas
Jersey City,NJ,New Jersey
Concord,NC,North Carolina
Columbus,GA,Georgia
Chandler,AZ,Arizona
McKinney,TX,Texas
Scottsdale,AZ,Arizona
Killeen,TX,Texas
Tallahassee,FL,Florida
Peoria,IL,Illinois
Wilmington,NC,North Carolina
Montgomery,AL,Alabama
Gilbert,AZ,Arizona
Glendale,AZ,Arizona
North Las Vegas,NV,Nevada
Chesapeake,VA,Virginia
Barnstable,MA,Massachusetts
Norfolk,VA,Virginia
Fremont,CA,California
Kennewick,WA,Washington
Garland,TX,Texas
Irving,TX,Texas
Visalia,CA,California
Atlantic City,NJ,New Jersey
Paradise,NV,Nevada
Nashua,NH,New Hampshire
Arlington,VA,Virginia
Hialeah,FL,Florida
York,PA,Pennsylvania
Evansville,IN,Indiana
Avondale,AZ,Arizona
Brownsville,TX,Texas
Gulfport,MS,Mississippi
Appleton,WI,Wisconsin
Bremerton,WA,Washington
Hickory,NC,North Carolina
Tacoma,WA,Washington
San Bernardino,CA,California
College Station,TX,Texas
Kalamazoo,MI,Michigan
Thousand Oaks,CA,California
Roanoke,VA,Virginia
Fontana,CA,California
Moreno Valley,CA,California
North Port,FL,Florida
Fargo,ND,North Dakota
Green Bay,WI,Wisconsin
Spring Valley,NV,Nevada
Amarillo,TX,Texas
Portland,ME,Maine
Santa Barbara,CA,California
Gainesville,FL,Florida
Olympia,WA,Washington
Frisco,TX,Texas
Yonkers,NY,New York
Norwich,CT,Connecticut
Glendale,CA,California
Huntington Beach,CA,California
Deltona,FL,Florida
Aurora,IL,Illinois
Tempe,AZ,Arizona
Overland Park,KS,Kansas
Grand Prairie,TX,Texas
Sunrise Manor,NV,Nevada
Waco,TX,Texas
Salinas,CA,California
Waterbury,CT,Connecticut
Clarksville,TN,Tennessee
Cedar Rapids,IA,Iowa
Sioux Falls,SD,South Dakota
Huntington,WV,West Virginia
Ontario,CA,California
Hagerstown,MD,Maryland
Erie,PA,Pennsylvania
Vancouver,WA,Washington
Nampa,ID,Idaho
Spartanburg,SC,South Carolina
Gastonia,NC,North Carolina
Fort Lauderdale,FL,Florida
