Description,Category,Sub_Category
Arby's,Food,FastFood_Restaurants
Burger King,Food,FastFood_Restaurants
Carl's Jr.,Food,FastFood_Restaurants
Chick-fil-A,Food,FastFood_Restaurants
Chipotle Mexican Grill,Food,FastFood_Restaurants
Del Taco,Food,FastFood_Restaurants
Domino's Pizza,Food,FastFood_Restaurants
Dunkin' Donuts,Food,FastFood_Restaurants
Five Guys,Food,FastFood_Restaurants
In-N-Out Burger,Food,FastFood_Restaurants
Jack in the Box,Food,FastFood_Restaurants
KFC,Food,FastFood_Restaurants
Little Caesars,Food,FastFood_Restaurants
McDonald's,Food,FastFood_Restaurants
Papa John's,Food,FastFood_Restaurants
Panda Express,Food,FastFood_Restaurants
Pizza Hut,Food,FastFood_Restaurants
Popeyes Louisiana Kitchen,Food,FastFood_Restaurants
Quiznos,Food,FastFood_Restaurants
Sonic Drive-In,Food,FastFood_Restaurants
Subway,Food,FastFood_Restaurants
Taco Bell,Food,FastFood_Restaurants
Wendy's,Food,FastFood_Restaurants
Arby's,Food,FastFood_Restaurants
Bojangles' Famous Chicken 'n Biscuits,Food,FastFood_Restaurants
Burger King,Food,FastFood_Restaurants
Carl's Jr.,Food,FastFood_Restaurants
Chick-fil-A,Food,FastFood_Restaurants
Chipotle Mexican Grill,Food,FastFood_Restaurants
Church's Chicken,Food,FastFood_Restaurants
Culver's,Food,FastFood_Restaurants
Dairy Queen,Food,FastFood_Restaurants
Domino's Pizza,Food,FastFood_Restaurants
Dunkin' Donuts,Food,FastFood_Restaurants
Five Guys,Food,FastFood_Restaurants
Hardee's,Food,FastFood_Restaurants
In-N-Out Burger,Food,FastFood_Restaurants
Jack in the Box,Food,FastFood_Restaurants
KFC,Food,FastFood_Restaurants
Krispy Kreme,Food,FastFood_Restaurants
Little Caesars,Food,FastFood_Restaurants
Long John Silver's,Food,FastFood_Restaurants
McDonald's,Food,FastFood_Restaurants
Panda Express,Food,FastFood_Restaurants
Pizza Hut,Food,FastFood_Restaurants
Popeyes Louisiana Kitchen,Food,FastFood_Restaurants
Rally's,Food,FastFood_Restaurants
Shake Shack,Food,FastFood_Restaurants
Sonic Drive-In,Food,FastFood_Restaurants
Subway,Food,FastFood_Restaurants
Taco Bell,Food,FastFood_Restaurants
Wendy's,Food,FastFood_Restaurants
Whataburger,Food,FastFood_Restaurants
Arby's,Food,FastFood_Restaurants
Auntie Anne's,Food,FastFood_Restaurants
Blaze Pizza,Food,FastFood_Restaurants
Bojangles' Famous Chicken 'n Biscuits,Food,FastFood_Restaurants
Burger King,Food,FastFood_Restaurants
Carl's Jr.,Food,FastFood_Restaurants
Chick-fil-A,Food,FastFood_Restaurants
